200	2
-3.62	9.37
-3.6	12.97
-3.05	7.28
-2.9	12.02
-2.88	9.86
-2.64	10.38
-2.52	9.3
-2.49	12.75
-2.45	9.49
-2.18	10.58
-2.14	11.85
-2.09	8.62
-2.05	8.5
-1.95	12.57
-1.94	9.52
-1.89	7.28
-1.88	11.37
-1.85	9.34
-1.82	10.31
-1.8	9.55
-1.74	11.95
-1.7	9.29
-1.66	8.04
-1.53	12.43
-1.46	11.76
-1.43	12.13
-1.43	9.57
-1.39	9.28
-1.39	6.79
-1.37	8.66
-1.34	10.62
-1.33	10.5
-1.27	9.17
-1.23	10.94
-1.22	9.98
-1.1	9.39
-1.02	10.11
-0.93	8.23
-0.92	9.02
-0.89	10.07
-0.86	8.89
-0.84	6.64
-0.84	14.04
-0.81	11.05
-0.73	11.23
-0.72	8.62
-0.58	12.36
-0.52	11.1
-0.51	11.74
-0.48	8.48
-0.44	8.76
-0.42	8.04
-0.41	8.95
-0.39	8.03
-0.37	8.88
-0.22	12.29
-0.2	11.03
-0.2	11.38
-0.18	10.8
-0.18	9.04
-0.16	12.39
-0.07	11.84
-0.04	9.31
-0.04	9.85
-0.03	10.62
0.01	9.89
0.02	12.75
0.18	10.14
0.27	12.31
0.33	10.39
0.37	8.03
0.4	9.58
0.44	11.17
0.58	9.74
0.6	8.31
0.64	8.21
0.65	9.2
0.79	11.35
0.79	12.39
0.8	8.35
0.81	8.13
0.82	11.07
0.87	10.16
0.88	12.39
0.9	8.48
1.04	11.21
1.19	9.69
1.2	7.74
1.34	11.83
1.35	11.25
1.36	8.97
1.52	8.76
1.62	8.52
1.67	12.55
1.74	9.69
1.78	8.68
1.92	7.66
1.97	9.78
1.98	9.76
1.98	11.04
2.09	6.91
2.21	11.36
2.28	9.89
2.34	10.69
2.34	10.7
2.45	9.64
2.53	8.88
2.56	9.33
2.67	6.25
2.67	12.68
2.68	11.47
2.71	10.91
3.12	13.81
3.14	10.02
3.19	11.96
5.52	9.59
-3.49	5.9
-0.6	5.28
-0.04	5.7
0.5	4.67
9.12	22.42
10.92	21.23
7.96	20.19
8.48	19.69
8.73	20.33
8.92	19.75
9.1	19.94
9.19	18.98
9.25	19.87
9.33	19.86
9.51	20.19
9.53	18.82
9.64	19.27
9.88	19.66
10.03	19.52
10.22	19.42
10.26	19.57
10.3	19.19
10.6	20.27
11.04	18.5
18.38	12.38
18.55	11.65
18.68	11.56
18.81	11.94
18.97	13.11
19.11	12.48
19.21	12.86
19.25	12.81
19.36	12.42
19.38	12.68
19.41	12.66
19.56	13.01
19.59	13.35
19.65	13.62
19.67	13.21
19.76	12.56
19.84	12.99
19.96	12.68
20.3	13.16
20.4	13.36
19.24	11.77
19.3	11.82
19.41	11.44
19.47	11.88
19.56	10.93
19.71	11.34
19.8	11.92
19.81	11.74
19.84	11.76
19.89	11.29
19.96	11.98
19.99	11.99
20	11.73
20	11.66
20.07	12.16
20.1	11.93
20.11	11.4
20.13	12.42
20.21	11.91
20.22	10.65
20.24	10.96
20.27	11.82
20.3	11.65
20.44	11.67
20.45	10.95
20.5	11.88
20.55	11.93
20.58	11.94
20.58	12.21
20.61	12.41
20.7	12.17
20.74	12.1
20.82	12.6
20.82	12.16
20.83	11.77
20.87	12.96
20.91	11.58
21.04	11.51
21.12	11.83
21.49	11.25
