900 2
-137  104 0
-118  105 0
-113   99 0
-124   88 0
-122  101 0
-133   94 0
-137   92 0
-125  101 0
-128   78 0
-131   82 0
-126   96 0
-119   93 0
-124   98 0
-125  107 0
-114  111 0
-113  101 0
-120   87 0
-128  105 0
-132   97 0
-142   87 0
-126   81 0
-121   79 0
-109   95 0
-109  109 0
-124  109 0
-128   94 0
-120   79 0
-117   74 0
-125   82 0
-114   93 0
-117   78 0
-124   84 0
-112   99 0
-131   90 0
-117   92 0
-116   85 0
-105  107 0
-116  109 0
-123   93 0
-126   91 0
-115  111 0
 -98  103 0
-104   83 0
-112   83 0
-106   99 0
-102   94 0
-103   89 0
-104   95 0
-120   78 0
-126   78 0
-132   81 0
-134   87 0
-139   85 0
-134  101 0
-116  113 0
 -99  112 0
 -98   95 0
-104   85 0
-120   73 0
-127   74 0
-117   75 0
-110   71 0
 -96   86 0
 -93  100 0
-102  113 0
-114  116 0
-125  103 0
-119  115 0
-103  119 0
-107   85 0
-112   77 0
 -98   80 0
 -90   91 0
 -90  111 0
 -94   95 0
-100   86 0
-107   73 0
-118   71 0
-126   79 0
-143   74 0
-143   72 0
-121   65 0
-105   75 0
 -98   84 0
 -94  100 0
-116  107 0
-122   94 0
-131   76 0
-132   93 0
-136  108 0
-121  116 0
-103  116 0
 -98   83 0
-115   74 0
-133   73 0
-137   91 0
-136  102 0
-119  104 0
 -94   90 0
-105   74 0
-114   66 0
 -82   65 0
 -76   75 0
 -84   96 0
 -98   71 0
-101   67 0
 -90   78 0
 -88   84 0
 -87   73 0
 -85   76 0
 -81   87 0
 -88  104 0
 -90  109 0
 -78  104 0
 -80   89 0
 -87   76 0
-101   71 0
-109   65 0
-124   64 0
-135   67 0
-144   85 0
-141  110 0
-123  120 0
-108  121 0
 -93  112 0
 -94   89 0
 -99   69 0
-109   60 0
-124   58 0
-133   63 0
-138   73 0
-145   91 0
-142  105 0
-126  117 0
-108  115 0
 -97   93 0
 -87  105 0
 -86   93 0
 -91   76 0
-100   67 0
-101   58 0
 -91   67 0
-101   60 0
-109   59 0
-101   65 0
-114   68 0
-126   83 0
-100  116 0
 -84  107 0
-108   77 0
-115   75 0
 -94   97 0
 -96  103 0
-108  102 0
 -92  105 0
 -94   79 0
 -84   87 0
 -73  103 0
 -79  120 0
 -91  122 0
 -96  121 0
 -88  113 0
 -85  113 0
-107  113 0
-109  114 0
-133  112 0
-133  119 0
-121  122 0
-118  113 0
-146   87 0
-147   85 0
-128   71 0
-124   66 0
-117   62 0
-108   61 0
-102   61 0
 -99   63 0
 -83   70 0
 -93   71 0
 -96   66 0
-103   59 0
-125   55 0
-129   59 0
-131   67 0
  48  156 0
  64  156 0
  67  157 0
  71  148 0
  63  129 0
  61  131 0
  58  144 0
  68  148 0
  78  152 0
  84  165 0
  89  171 0
  97  163 0
  97  153 0
  83  136 0
  86  153 0
  86  161 0
  72  169 0
  59  149 0
  82  140 0
  92  149 0
  94  167 0
  71  168 0
  63  161 0
  46  153 0
  37  137 0
  45  125 0
  56  133 0
  44  139 0
  41  142 0
  41  160 0
  50  171 0
  59  173 0
  75  165 0
  66  139 0
  58  129 0
  50  143 0
  51  157 0
  69  151 0
  67  139 0
  47  125 0
  44  134 0
  66  123 0
  80  135 0
  87  146 0
  90  157 0
  86  137 0
  75  128 0
  75  119 0
  86  131 0
  88  149 0
  79  147 0
  55  145 0
  48  153 0
  50  163 0
  65  176 0
  73  173 0
  78  155 0
  53  142 0
  34  149 0
  39  167 0
  47  167 0
  49  152 0
  53  168 0
  66  166 0
  73  148 0
  79  131 0
  89  136 0
  95  143 0
  97  144 0
  92  131 0
  86  118 0
  77  115 0
  60  114 0
  54  119 0
  41  131 0
  43  143 0
  57  165 0
  65  171 0
  84  179 0
  89  177 0
  93  166 0
  97  151 0
  96  135 0
  91  127 0
  81  127 0
  77  135 0
  73  133 0
  65  125 0
  64  115 0
  69  119 0
  58  116 0
  51  136 0
  54  162 0
  74  172 0
  88  164 0
  92  144 0
  83  128 0
  75  129 0
  77  153 0
  93  151 0
  96  133 0
  93  118 0
 102  118 0
 103  143 0
  87  156 0
  76  149 0
  71  121 0
  68  109 0
  83  110 0
  87  125 0
  73  119 0
  57  122 0
  44  133 0
  39  141 0
  43  158 0
  52  164 0
  62  130 0
  43  118 0
  48  157 0
  65  157 0
 -13   33 0
 -12   10 0
 -10   -2 0
   0   14 0
  14   28 0
  15   33 0
   3   17 0
  -3   20 0
   8   36 0
  19   38 0
  19   20 0
   5   -3 0
  -6   -6 0
  -5   12 0
   7   10 0
   9    0 0
  -1  -16 0
  -6  -19 0
   1   -3 0
   1    3 0
  -1    2 0
  -1    1 0
   0    5 0
   9    4 0
   2   -6 0
  -7   -8 0
   0   10 0
   4    4 0
 -15    1 0
 -11   13 0
  -5   24 0
 -22    2 0
 -12   -5 0
   7  -12 0
  13   -5 0
  20    9 0
  20   20 0
   8   21 0
 -16   19 0
 -28    8 0
 -29   -3 0
 -13  -11 0
   1  -12 0
  14   -2 0
  20   12 0
  21   15 0
  22   15 0
  24   28 0
  15   19 0
  12   15 0
  -2   21 0
   2   34 0
  16   36 0
  25   27 0
  26   11 0
  24   -1 0
  14  -11 0
  -8  -19 0
 -15  -15 0
 -20  -11 0
 -21   -6 0
 -22   13 0
 -22   23 0
 -17   28 0
  -2   36 0
  12   42 0
  28   30 0
  31   15 0
  23    3 0
  21    0 0
  26   15 0
  22   21 0
  12    3 0
  12  -23 0
  21   -7 0
  24   -5 0
   6  -18 0
   3  -21 0
  -5  -18 0
 -15   -4 0
 -11    9 0
  -5   22 0
   4   34 0
  19   24 0
  24   15 0
  13   -4 0
   5    2 0
  14   24 0
  22   27 0
  28   20 0
  28    8 0
  35   16 0
  38   30 0
  28   34 0
  19   12 0
  32   10 0
  37   15 0
  38   26 0
  43   16 0
  35    3 0
  32   -3 0
  28  -11 0
  25  -19 0
  11  -24 0
  -8  -26 0
 -10  -26 0
 -19  -18 0
 -32   -7 0
 -31    8 0
 -25   22 0
 -14   40 0
  12   39 0
  20   32 0
  20   11 0
  16    4 0
   9   12 0
  15    3 0
  18  -16 0
  20  -21 0
  30  -13 0
  38   -3 0
  43   11 0
  43   -1 0
  26  -28 0
  25  -30 0
  11  -30 0
   2  -32 0
  -9  -33 0
 -22  -29 0
 -25  -26 0
 -34   -4 0
 -34    9 0
 -18   10 0
 -25   17 0
 -29   31 0
 -19   43 0
  -9   47 0
   4   47 0
   9   44 0
   4   32 0
  -2   30 0
  -8   22 0
  -6   35 0
   2   35 0
  -1   23 0
  -5   19 0
  -6   12 0
 -13   20 0
  -3   32 0
  -7   21 0
 -14   16 0
 -16   36 0
 -13   42 0
 -21   23 0
 -33    9 0
 -22   -4 0
 -12    5 0
  -5    6 0
 -14    5 0
 -21    3 0
 -24   13 0
 -25   16 0
 -28   19 0
 -19   34 0
  -4   36 0
  12   33 0
  27   26 0
  29   20 0
  29   31 0
  23   35 0
  31   21 0
  -3    8 0
   6   18 0
   5   11 0
   6    6 0
   5   24 0
   4   28 0
   0   26 0
  -3   24 0
  -9   25 0
 -12   20 0
  -9   10 0
 -15   -8 0
 -17    2 0
 -27    3 0
 -23    7 0
 -17    6 0
 -14    0 0
   5  -24 0
  34  -17 0
  18  -21 0
  11  -21 0
  -9  -21 0
 -21  -14 0
 -24   -6 0
 -19    2 0
  -4   11 0
   7   11 0
  -3   -5 0
  11   -6 0
  27    4 0
  36   15 0
  39   18 0
  33   26 0
  27   39 0
  36   30 0
  40   12 0
  36   -4 0
  24  -20 0
  21  -28 0
  10  -31 0
  -8  -28 0
 -20  -20 0
 -27  -10 0
 -32   12 0
 -31   26 0
 -27   38 0
 -19   44 0
  -8   48 0
  10   48 0
  21   44 0
  26   40 0
  29   34 0
  17   44 0
   7   40 0
   2   43 0
  -2   46 0
  -7   43 0
 -10   42 0
  -8   45 0
 -10   41 0
 -15   32 0
 -19   24 0
 -17   19 0
 -14   26 0
 -14   23 0
 -20   13 0
 -28  -10 0
 -25  -16 0
 -11  -18 0
 -13  -26 0
 -15  -24 0
 -16  -26 0
 -24  -24 0
 -24  -22 0
 -16  -14 0
  -4  -18 0
  13  -26 0
  19  -26 0
  28  -14 0
  27  -11 0
  26   -8 0
  33    0 0
  35    8 0
  36   19 0
  35   31 0
  31   37 0
  36   35 0
  36   28 0
  38   16 0
  39    0 0
  28   -8 0
  33  -18 0
  34   -9 0
  36   -5 0
  32  -15 0
  29  -20 0
  18  -18 0
  14  -17 0
  12  -14 0
  -5   -7 0
 -20   24 0
 -26   26 0
 -24   38 0
 -20   37 0
 -22   31 0
 -23   30 0
 -24   33 0
 -26   32 0
 -24   35 0
 -22   27 0
 -30   19 0
 -35   13 0
 -34    6 0
