1300 2
  63  426 0
  55  425 0
  45  425 0
  34  425 0
  34  411 0
  42  413 0
  55  412 0
  67  412 0
  37  406 0
  44  406 0
  55  408 0
  65  407 0
  56  395 0
  65  397 0
  45  397 0
  45  385 0
  55  386 0
  66  385 0
  74  393 0
  73  383 0
  42  276 0
  34  275 0
  34  264 0
  43  264 0
  53  275 0
  55  263 0
  65  275 0
  67  265 0
  35  256 0
  47  254 0
  53  256 0
  65  255 0
  47  245 0
  54  247 0
  66  243 0
  46  238 0
  51  240 0
  65  234 0
  58  234 0
  57  223 0
  35   84 0
  45   85 0
  35   76 0
  47   73 0
  52   83 0
  55   75 0
  66   85 0
  63   73 0
  42   64 0
  54   65 0
  36   56 0
  45   56 0
  57   55 0
  67   54 0
  45   43 0
  54   45 0
  46   35 0
  35   35 0
  56   36 0
  66   35 0
-181  348 0
-173  345 0
-164  346 0
-155  346 0
-182  334 0
-173  335 0
-164  333 0
-158  335 0
-145  343 0
-145  334 0
-183  324 0
-173  324 0
-164  325 0
-155  324 0
-146  325 0
-182  313 0
-175  313 0
-166  314 0
-154  315 0
-175  304 0
-197  183 0
-207  176 0
-196  175 0
-207  163 0
-194  164 0
-184  166 0
-184  175 0
-183  184 0
-205  157 0
-197  157 0
-173  176 0
-174  185 0
-175  163 0
-166  164 0
-165  175 0
-164  186 0
-158  166 0
-153  174 0
-158  183 0
-145  173 0
-226  -76 0
-214  -75 0
-206  -75 0
-195  -73 0
-219  -85 0
-224  -85 0
-206  -86 0
-195  -85 0
-216  -95 0
-206  -95 0
-224 -104 0
-216 -104 0
-205 -105 0
-195 -105 0
-222 -114 0
-216 -116 0
-203 -114 0
-192 -114 0
-215 -122 0
-205 -125 0
-226 -136 0
-215 -135 0
-207 -135 0
-195 -135 0
-225 -145 0
-215 -146 0
-205 -144 0
-196 -144 0
-214 -154 0
-204 -156 0
-227 -165 0
-215 -166 0
-206 -165 0
-196 -166 0
-225 -178 0
-214 -178 0
-206 -176 0
-197 -176 0
-214 -186 0
-205 -186 0
-185  -74 0
-176  -74 0
-164  -74 0
-155  -73 0
-185  -85 0
-178  -83 0
-165  -85 0
-153  -87 0
-185  -94 0
-175  -95 0
-187 -106 0
-176 -104 0
-167 -105 0
-157 -105 0
-185 -115 0
-172 -115 0
-164 -115 0
-154 -115 0
-175 -126 0
-164 -126 0
 134 -116 0
 146 -114 0
 156 -115 0
 165 -114 0
 135 -124 0
 146 -123 0
 155 -124 0
 165 -125 0
 145 -133 0
 156 -134 0
 133 -143 0
 145 -148 0
 157 -146 0
 165 -147 0
 136 -154 0
 147 -155 0
 155 -156 0
 163 -156 0
 147 -166 0
 156 -165 0
 408  152 0
 453  306 0
 446  304 0
 445  294 0
 456  295 0
 466  295 0
 466  308 0
 447  288 0
 457  283 0
 467  291 0
 448  277 0
 476  309 0
 485  308 0
 497  307 0
 478  297 0
 486  295 0
 497  297 0
 476  287 0
 485  286 0
 494  286 0
 486  278 0
 474  276 0
 494  277 0
 473  266 0
 485  264 0
 494  264 0
 477  259 0
 485  256 0
 493  256 0
 485  246 0
 496  244 0
 442  265 0
 454  266 0
 466  266 0
 445  255 0
 457  255 0
 465  256 0
 445  244 0
 455  244 0
 466  244 0
 477  244 0
 445  233 0
 455  233 0
 465  234 0
 477  235 0
 456  225 0
 466  227 0
 447  224 0
 447  214 0
 456  214 0
 465  214 0
 484  235 0
 496  236 0
 476  223 0
 485  227 0
 494  224 0
 504  237 0
 506  223 0
 486  217 0
 495  216 0
 504  215 0
-181  161 0
-186  163 0
-186  175 0
-168  178 0
-182  184 0
-192  179 0
-193  176 0
-201  169 0
-198  160 0
-184  161 0
-165  171 0
-172  171 0
-175  175 0
-175  179 0
-178  178 0
-178  169 0
-179  173 0
-191  183 0
-187  174 0
-191  170 0
-187  163 0
-165  163 0
-154  177 0
-163  177 0
-186  177 0
-198  181 0
-200  179 0
-207  173 0
-207  168 0
-186  168 0
-194  160 0
-189  160 0
-170  160 0
-155  169 0
-156  173 0
-167  170 0
-170  170 0
  60   60 0
  55   50 0
  48   45 0
  44   50 0
  33   59 0
  42   73 0
  41   76 0
  45   79 0
  53   79 0
  55   80 0
  61   76 0
  61   70 0
  64   63 0
  55   62 0
  40   58 0
  38   68 0
  35   71 0
  35   54 0
  42   46 0
  34   43 0
  32   40 0
  37   39 0
  59   38 0
  64   45 0
  60   54 0
  60   62 0
  53   65 0
  47   64 0
  45   55 0
  40   61 0
  39   48 0
  48   46 0
  56   55 0
  63   74 0
  52   79 0
  43   68 0
  36   54 0
  42   52 0
  51   56 0
  59   66 0
  57   74 0
  59  233 0
  51  232 0
  38  241 0
  48  249 0
  50  253 0
  60  271 0
  56  270 0
  46  270 0
  41  264 0
  38  258 0
  38  252 0
  39  247 0
  39  241 0
  44  241 0
  47  247 0
  49  252 0
  54  250 0
  55  243 0
  59  252 0
  60  259 0
  59  258 0
  57  262 0
  49  262 0
  47  263 0
  56  263 0
  58  259 0
  56  251 0
  55  247 0
  55  244 0
  55  234 0
  61  234 0
  62  243 0
  65  261 0
  54  266 0
  44  263 0
  37  256 0
  34  248 0
  35  245 0
  43  239 0
  62  250 0
  61  262 0
  70  388 0
  62  387 0
  57  388 0
  52  396 0
  59  404 0
  59  415 0
  57  418 0
  40  418 0
  39  408 0
  39  406 0
  43  403 0
  47  401 0
  53  406 0
  50  412 0
